School,Day,ID,Weight,Walking,Eating ,Movement
Oliver,Tuesday,Vida,37.8,8,3,12
Oliver,Tuesday,Chi Chi,32.8,5,6,2
Oliver,Tuesday,Gretchen,37.2,17,1,25
Oliver,Tuesday,Talula ,49.8,2,2,23
Oliver,Tuesday,Nina,26.2,30,4,8
Oliver,Tuesday,Athena,45.8,4,0,18
Oliver,Tuesday,Lilo,51.8,10,0,21
Oliver,Tuesday,Cleo,38.2,48,7,1
Oliver,Tuesday,Nugget,35.6,25,6,15
Oliver,Tuesday,Coral,32.6,13,0,25
Oliver,Tuesday,Sassy,37.8,4,1,16
Oliver,Tuesday,Mavus,42.8,0,0,27
Oliver,Tuesday,Murtle,41.2,1,3,13
Oliver,Tuesday,Squritle ,37.4,0,0,1
McMurray,Wednesday,Vida,37.8,0,0,
McMurray,Wednesday,Chi Chi,33.2,0,0,
McMurray,Wednesday,Gretchen,37.6,36,5,
McMurray,Wednesday,Talula ,50.2,0,0,
McMurray,Wednesday,Nina,26.4,25,4,
McMurray,Wednesday,Athena,46,17,0,
McMurray,Wednesday,Lilo,52.4,3,2,
McMurray,Wednesday,Cleo,39,16,5,
McMurray,Wednesday,Nugget,36.2,1,0,
McMurray,Wednesday,Coral,33,0,0,
McMurray,Wednesday,Sassy,38.2,17,2,
McMurray,Wednesday,Mavus,42.8,47,4,
McMurray,Wednesday,Murtle,41.4,15,3,
McMurray,Wednesday,Squritle ,38.2,0,0,
Croft,Thursday,Vida,38,26,5,
Croft,Friday,Chi Chi,33.4,13,3,
Croft,Saturday,Gretchen,37.6,32,7,
Croft,Sunday,Talula ,50,11,4,
Croft,Monday,Nina,26.6,32,8,
Croft,Tuesday,Athena,45.8,20,8,
Croft,Wednesday,Lilo,52.2,25,4,
Croft,Thursday,Cleo,35.8,12,6,
Croft,Friday,Nugget,38.8,33,11,
Croft,Saturday,Coral,32.8,0,0,
Croft,Sunday,Sassy,38.8,34,5,
Croft,Monday,Mavus,42.8,1,1,
Croft,Tuesday,Murtle,41.6,0,2,
Croft,Wednesday,Squritle ,38.2,20,5,
